Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
In-111   , M,7300,      1.00,  1.0754E-10,  1.8862E-10,  1.9900E-10,BBB
In-111m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-112   , M,7300,      1.00,  3.7942E-12,  6.0045E-12,  6.2477E-12,BBB
In-112m  , M,7300,      1.00,  8.4128E-12,  1.6211E-11,  1.7070E-11,BBB
In-113m  , M,7300,      1.00,  8.0296E-12,  1.5795E-11,  1.6650E-11,BBB
In-114   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-114m  , M,7300,      1.00,  8.3312E-09,  1.0470E-08,  1.2070E-08,BAA
In-115   , M,7300,      1.00,  3.4591E-07,  1.5856E-07,  4.2651E-08,BBA
In-115m  , M,7300,      1.00,  1.9627E-11,  4.5978E-11,  4.8904E-11,BBB
In-116m  , M,7300,      1.00,  2.2819E-11,  3.6256E-11,  3.7736E-11,BBB
In-117   , M,7300,      1.00,  1.1753E-11,  2.2134E-11,  2.3278E-11,BBB
In-117m  , M,7300,      1.00,  2.3813E-11,  5.6098E-11,  5.9669E-11,BBB
In-118   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-118m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-119   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-119m  , M,7300,      1.00,  8.3946E-12,  1.4208E-11,  1.4847E-11,BBB
In-121   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-121m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ir-180   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ir-182   , M,7300,      1.00,  1.2565E-11,  1.9892E-11,  2.0711E-11,BBB
Ir-183   , M,7300,      1.00,  1.7783E-11,  2.9897E-11,  3.1465E-11,BBB
Ir-184   , M,7300,      1.00,  5.5502E-11,  9.5546E-11,  9.9974E-11,BBB
Ir-185   , M,7300,      1.00,  8.8755E-11,  1.7278E-10,  1.8423E-10,BBB
Ir-186   , M,7300,      1.00,  1.5509E-10,  2.7053E-10,  2.8366E-10,BBB
Ir-186m  , M,7300,      1.00,  2.4172E-11,  3.8416E-11,  4.0000E-11,BBB
Ir-187   , M,7300,      1.00,  2.9003E-11,  5.6363E-11,  5.9439E-11,BBB
Ir-188   , M,7300,      1.00,  2.5466E-10,  3.8034E-10,  3.9536E-10,BBB
Ir-189   , M,7300,      1.00,  9.3873E-11,  3.7415E-10,  4.2685E-10,BAA
Ir-190   , M,7300,      1.00,  5.9951E-10,  1.0287E-09,  1.1306E-09,BAA
Ir-190m  , M,7300,      1.00,  2.6914E-12,  4.5648E-12,  4.9907E-12,BAA
Ir-190n  , M,7300,      1.00,  3.8658E-11,  6.3311E-11,  6.6083E-11,BBB
Ir-191m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ir-192   , M,7300,      1.00,  1.5438E-09,  4.4151E-09,  5.6686E-09,AAA
